,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,target,to_Coupon,coupon_freq,occupation_class
7642,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Male,50plus,Married partner,1,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never,0,0,0,0,0,never,Low_Acceptance
8635,No Urgent Place,Partner,Sunny,80,10PM,Restaurant(<20),1d,Female,26,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,1~3,less1,1~3,less1,less1,1,0,0,0,1,less1,Medium_Low_Acceptance
6365,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,21,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,less1,4~8,4~8,4~8,4~8,1,1,0,1,2,4~8,Medium_Low_Acceptance
4146,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,26,Married partner,1,Bachelors degree,Protective Service,$100000 or More,never,gt8,4~8,gt8,1~3,0,0,1,1,0,gt8,High_Acceptance
4733,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Male,below21,Single,0,Some college - no degree,Student,$87500 - $99999,never,4~8,1~3,4~8,less1,0,0,1,1,0,1~3,Medium_High_Acceptance
7828,Home,Alone,Sunny,30,6PM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Unemployed,$100000 or More,less1,4~8,1~3,less1,less1,1,0,1,1,1,1~3,Medium_Low_Acceptance
9964,Work,Alone,Rainy,55,7AM,Bar,1d,Male,31,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,1~3,1~3,1~3,1,1,0,0,2,never,Low_Acceptance
10754,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,1,0,0,1,1,1~3,Medium_Acceptance
9768,Work,Alone,Sunny,30,7AM,Bar,1d,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$100000 or More,never,less1,4~8,1~3,1~3,1,0,1,0,1,never,Low_Acceptance
2017,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,50plus,Married partner,1,Associates degree,Legal,$100000 or More,less1,never,gt8,4~8,1~3,1,0,0,0,1,never,Low_Acceptance
10571,No Urgent Place,Friend(s),Sunny,30,10PM,Carry out & Take away,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,less1,4~8,4~8,gt8,1~3,1,0,0,0,1,4~8,Medium_Low_Acceptance
1598,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,less1,1~3,1~3,gt8,never,1,0,0,0,1,less1,High_Acceptance
3968,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,1~3,gt8,1~3,1~3,1,0,0,1,1,1~3,Low_Acceptance
10136,Work,Alone,Sunny,30,7AM,Bar,1d,Female,26,Married partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,never,never,1~3,4~8,less1,1,0,1,0,1,never,Medium_High_Acceptance
12466,No Urgent Place,Alone,Snowy,30,10AM,Restaurant(<20),1d,Male,41,Divorced,1,High School Graduate,Sales & Related,$12500 - $24999,never,less1,less1,1~3,4~8,1,0,0,1,1,1~3,Medium_Low_Acceptance
7114,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$62500 - $74999,less1,less1,4~8,4~8,less1,1,0,0,1,1,4~8,Low_Acceptance
966,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,0,0,0,0,0,4~8,High_Acceptance
11347,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Male,31,Single,0,Associates degree,Unemployed,Less than $12500,less1,less1,less1,1~3,less1,0,0,0,1,0,less1,Medium_Low_Acceptance
11179,Home,Alone,Rainy,55,10PM,Coffee House,2h,Female,below21,Unmarried partner,1,Some college - no degree,Education&Training&Library,$37500 - $49999,never,gt8,gt8,gt8,less1,0,0,1,0,0,gt8,Low_Acceptance
2096,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,4~8,1~3,gt8,4~8,1~3,0,0,0,1,0,1~3,Medium_Low_Acceptance
6332,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,36,Divorced,1,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3,0,0,0,0,0,gt8,Medium_High_Acceptance
12408,Home,Alone,Snowy,30,10PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$37500 - $49999,less1,less1,1~3,1~3,1~3,1,0,0,0,1,less1,Low_Acceptance
8702,No Urgent Place,Partner,Sunny,30,10AM,Bar,1d,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,1~3,4~8,less1,4~8,less1,1,0,0,0,1,1~3,Medium_Acceptance
8677,No Urgent Place,Friend(s),Sunny,55,6PM,Carry out & Take away,1d,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,less1,1~3,less1,1,0,0,1,1,less1,Medium_Acceptance
2463,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Female,21,Unmarried partner,0,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,1~3,1~3,less1,0,0,0,1,0,1~3,Medium_Low_Acceptance
11044,No Urgent Place,Alone,Snowy,30,10AM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Sales & Related,Less than $12500,1~3,1~3,4~8,4~8,4~8,1,0,0,1,1,4~8,Medium_Low_Acceptance
10025,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Male,26,Single,0,Bachelors degree,Community & Social Services,$25000 - $37499,4~8,4~8,1~3,4~8,1~3,1,0,0,1,1,1~3,Low_Acceptance
8184,Home,Alone,Sunny,80,6PM,Bar,2h,Female,46,Married partner,0,Bachelors degree,Construction & Extraction,$12500 - $24999,1~3,4~8,4~8,1~3,less1,0,0,1,1,0,1~3,High_Acceptance
4526,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),1d,Female,46,Married partner,1,Some college - no degree,Personal Care & Service,$37500 - $49999,never,less1,less1,1~3,less1,1,0,0,1,1,1~3,Medium_Low_Acceptance
9300,No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Male,below21,Single,0,High School Graduate,Student,$87500 - $99999,never,less1,1~3,4~8,4~8,0,0,0,1,0,never,Medium_High_Acceptance
2272,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,less1,less1,less1,never,0,0,0,1,0,less1,Medium_High_Acceptance
9445,Work,Alone,Snowy,30,7AM,Carry out & Take away,1d,Male,36,Single,0,Some college - no degree,Business & Financial,$37500 - $49999,never,less1,gt8,gt8,never,1,0,1,1,1,gt8,Medium_Acceptance
3619,Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,Single,0,Bachelors degree,Retired,$87500 - $99999,never,less1,less1,1~3,less1,1,1,0,0,2,never,Low_Acceptance
12091,No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,21,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,never,1~3,never,never,1,0,0,1,1,never,Medium_High_Acceptance
445,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,26,Single,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1,0,0,0,1,0,1~3,Medium_Acceptance
1302,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,50plus,Unmarried partner,1,Associates degree,Retired,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,0,1,4~8,Low_Acceptance
6902,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Female,21,Unmarried partner,0,Bachelors degree,Sales & Related,$25000 - $37499,1~3,4~8,4~8,1~3,1~3,0,0,0,1,0,4~8,Medium_Low_Acceptance
10428,No Urgent Place,Friend(s),Sunny,55,10AM,Restaurant(<20),2h,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8,1,0,0,1,1,gt8,Medium_Low_Acceptance
3474,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,41,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,never,4~8,1~3,less1,1,0,0,0,1,never,Medium_Low_Acceptance
8264,No Urgent Place,Friend(s),Snowy,30,10AM,Carry out & Take away,1d,Female,36,Married partner,1,Associates degree,Healthcare Practitioners & Technical,$75000 - $87499,less1,never,4~8,1~3,less1,1,0,0,1,1,4~8,High_Acceptance
9060,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,gt8,4~8,less1,1,0,0,0,1,less1,Medium_Acceptance
1327,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,46,Single,1,Some college - no degree,Sales & Related,$37500 - $49999,never,less1,1~3,1~3,1~3,0,0,0,0,0,never,Medium_Low_Acceptance
11029,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,1~3,never,1~3,4~8,1~3,0,0,0,1,0,1~3,Medium_Low_Acceptance
9521,Home,Alone,Snowy,30,10PM,Restaurant(<20),2h,Male,31,Unmarried partner,0,Bachelors degree,Sales & Related,$12500 - $24999,never,less1,1~3,1~3,never,1,1,0,0,2,1~3,Medium_Low_Acceptance
8645,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Female,26,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,1~3,less1,1~3,less1,less1,1,1,0,0,2,less1,Medium_Low_Acceptance
3895,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,50plus,Single,0,Bachelors degree,Computer & Mathematical,$75000 - $87499,1~3,never,1~3,4~8,1~3,1,0,0,1,1,4~8,Medium_Acceptance
517,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,never,less1,1~3,1~3,less1,0,0,0,0,0,never,Medium_Acceptance
11842,Work,Alone,Snowy,30,7AM,Coffee House,1d,Female,50plus,Widowed,1,Associates degree,Healthcare Support,$12500 - $24999,less1,less1,4~8,1~3,less1,0,0,1,1,0,less1,High_Acceptance
3411,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,46,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,less1,4~8,1~3,1~3,less1,0,0,0,1,0,4~8,Low_Acceptance
1254,Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Sales & Related,$12500 - $24999,less1,4~8,4~8,1~3,never,1,1,0,0,2,less1,Medium_Low_Acceptance
9633,Home,Alone,Rainy,55,6PM,Bar,1d,Male,46,Single,0,Some college - no degree,Production Occupations,Less than $12500,4~8,4~8,1~3,less1,1~3,1,1,0,1,2,4~8,Medium_High_Acceptance
10863,Home,Kid(s),Sunny,55,10PM,Restaurant(20-50),1d,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,1~3,4~8,1~3,4~8,4~8,1,0,1,1,1,4~8,Medium_Acceptance
3321,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0,1,1~3,Medium_Acceptance
325,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Unmarried partner,0,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1,1,0,0,1,1,1~3,Medium_High_Acceptance
7934,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Female,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,never,less1,1~3,gt8,gt8,1,0,0,1,1,never,High_Acceptance
7166,Home,Alone,Snowy,30,10PM,Restaurant(20-50),2h,Male,31,Married partner,1,Some college - no degree,Construction & Extraction,$37500 - $49999,never,never,4~8,4~8,1~3,0,0,0,0,0,1~3,High_Acceptance
10631,Home,Alone,Sunny,80,6PM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Protective Service,$25000 - $37499,never,never,gt8,less1,less1,0,0,1,1,0,less1,High_Acceptance
5298,Work,Alone,Sunny,80,7AM,Coffee House,2h,Male,46,Unmarried partner,0,Some college - no degree,Transportation & Material Moving,$12500 - $24999,never,less1,1~3,less1,less1,0,0,1,1,0,less1,Medium_High_Acceptance
8493,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Business & Financial,$37500 - $49999,less1,gt8,1~3,1~3,1~3,1,1,0,0,2,1~3,Medium_Acceptance
8711,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,1~3,4~8,less1,4~8,less1,1,1,0,0,2,4~8,Medium_Acceptance
4596,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Male,36,Married partner,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,never,never,1~3,1~3,less1,1,0,0,0,1,never,Low_Acceptance
10927,No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,1~3,never,less1,less1,less1,0,0,0,0,0,1~3,Medium_Acceptance
5281,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Male,46,Unmarried partner,0,Some college - no degree,Transportation & Material Moving,$12500 - $24999,never,less1,1~3,less1,less1,0,0,0,0,0,never,Medium_High_Acceptance
11784,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Female,41,Married partner,1,Associates degree,Unemployed,$62500 - $74999,less1,less1,less1,less1,less1,0,0,0,1,0,less1,Medium_Low_Acceptance
8934,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,1,Associates degree,Student,$87500 - $99999,never,4~8,4~8,less1,less1,1,0,0,1,1,4~8,Medium_High_Acceptance
1944,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,less1,4~8,4~8,1~3,less1,1,0,0,0,1,4~8,Low_Acceptance
5985,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),1d,Female,50plus,Divorced,0,Graduate degree (Masters or Doctorate),Retired,$37500 - $49999,never,never,4~8,1~3,never,1,0,0,1,1,1~3,Low_Acceptance
471,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,gt8,gt8,gt8,gt8,gt8,0,0,0,1,0,gt8,Medium_Acceptance
12267,No Urgent Place,Alone,Rainy,55,2PM,Carry out & Take away,2h,Male,26,Single,1,Some High School,Unemployed,Less than $12500,1~3,gt8,4~8,4~8,4~8,0,0,0,1,0,4~8,Medium_Low_Acceptance
9746,Work,Alone,Rainy,55,7AM,Carry out & Take away,2h,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,1,0,1,1,1,4~8,Medium_Low_Acceptance
2884,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,never,1~3,4~8,1~3,1~3,1,0,0,0,1,1~3,Low_Acceptance
3191,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,26,Married partner,0,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1,1,0,0,1,1,1~3,Low_Acceptance
8898,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Male,26,Unmarried partner,0,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1,0,0,0,1,0,4~8,Medium_Acceptance
3157,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Management,$62500 - $74999,1~3,1~3,1~3,4~8,less1,1,0,0,0,1,less1,Medium_Acceptance
6035,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),1d,Female,26,Unmarried partner,0,Some college - no degree,Management,$37500 - $49999,less1,less1,less1,1~3,less1,0,0,0,1,0,1~3,Medium_Acceptance
5280,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Retired,$62500 - $74999,never,4~8,1~3,4~8,less1,1,0,0,1,1,4~8,Low_Acceptance
4325,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,46,Single,0,Some college - no degree,Protective Service,$25000 - $37499,1~3,never,4~8,1~3,1~3,0,0,1,1,0,4~8,High_Acceptance
7372,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Male,below21,Unmarried partner,0,Some college - no degree,Student,$87500 - $99999,never,1~3,1~3,1~3,less1,0,0,0,1,0,1~3,Medium_High_Acceptance
4829,Work,Alone,Sunny,55,7AM,Coffee House,1d,Female,31,Single,0,Bachelors degree,Community & Social Services,$50000 - $62499,4~8,1~3,1~3,1~3,less1,1,0,0,1,1,1~3,Low_Acceptance
10226,Work,Alone,Rainy,55,7AM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,1,1,0,0,2,less1,Medium_Acceptance
6505,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,1d,Male,36,Unmarried partner,1,Bachelors degree,Retired,$37500 - $49999,1~3,4~8,4~8,1~3,1~3,1,0,0,1,1,4~8,Low_Acceptance
8169,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),2h,Female,46,Married partner,0,Bachelors degree,Construction & Extraction,$12500 - $24999,1~3,4~8,4~8,1~3,less1,1,0,0,0,1,less1,High_Acceptance
8433,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,1d,Male,41,Married partner,1,Associates degree,Farming Fishing & Forestry,$25000 - $37499,never,never,never,1~3,never,1,0,0,0,1,never,Medium_Low_Acceptance
11857,Home,Alone,Rainy,55,10PM,Coffee House,2h,Male,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$25000 - $37499,less1,less1,1~3,never,never,0,0,1,0,0,less1,High_Acceptance
7093,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Male,26,Single,0,Some college - no degree,Transportation & Material Moving,$62500 - $74999,4~8,less1,gt8,4~8,less1,1,0,0,1,1,4~8,Medium_High_Acceptance
6976,No Urgent Place,Kid(s),Rainy,55,10PM,Bar,1d,Male,36,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,1~3,never,1~3,4~8,never,1,0,0,0,1,1~3,Medium_Acceptance
1284,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,50plus,Unmarried partner,1,Associates degree,Retired,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,0,1,4~8,Low_Acceptance
8582,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,0,0,1,1,0,1~3,Medium_Low_Acceptance
8230,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Male,50plus,Widowed,0,Some college - no degree,Installation Maintenance & Repair,Less than $12500,never,never,1~3,less1,less1,1,1,0,0,2,less1,Medium_Low_Acceptance
3053,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,gt8,4~8,gt8,less1,1,0,0,1,1,gt8,Medium_Acceptance
11285,No Urgent Place,Alone,Sunny,80,10AM,Restaurant(<20),2h,Male,21,Single,0,Bachelors degree,Student,$25000 - $37499,1~3,4~8,1~3,1~3,less1,0,0,0,1,0,1~3,Medium_High_Acceptance
9135,Work,Alone,Sunny,80,7AM,Coffee House,1d,Female,21,Married partner,0,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3,0,0,1,1,0,gt8,Medium_High_Acceptance
7494,Home,Alone,Rainy,55,10PM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Unemployed,$62500 - $74999,4~8,never,4~8,1~3,less1,0,0,1,0,0,never,Medium_Low_Acceptance
11400,Home,Alone,Rainy,55,10PM,Coffee House,2h,Male,50plus,Married partner,0,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,less1,less1,less1,less1,less1,0,0,1,0,0,less1,Low_Acceptance
7621,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,1d,Male,50plus,Unmarried partner,1,Associates degree,Transportation & Material Moving,$50000 - $62499,never,1~3,4~8,4~8,1~3,1,0,0,1,1,1~3,Medium_High_Acceptance
6772,Work,Alone,Sunny,55,7AM,Coffee House,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,1~3,1,1,0,1,2,less1,Low_Acceptance
10198,Home,Alone,Snowy,30,10PM,Restaurant(<20),2h,Female,50plus,Widowed,1,Some college - no degree,Food Preparation & Serving Related,Less than $12500,never,never,1~3,4~8,less1,1,1,0,0,2,4~8,Medium_Acceptance
10947,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,1~3,never,less1,less1,less1,0,0,1,0,0,less1,Medium_Acceptance
11816,Home,Alone,Rainy,55,10PM,Coffee House,2h,Male,36,Married partner,1,Associates degree,Computer & Mathematical,$100000 or More,never,less1,4~8,1~3,less1,0,0,1,1,0,less1,Medium_Acceptance
2963,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,31,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1,1,0,0,0,1,less1,Medium_Acceptance
10146,No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Male,31,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,never,1~3,1~3,1~3,0,0,0,1,0,less1,High_Acceptance
5753,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,26,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,1~3,0,0,0,1,0,1~3,Medium_Acceptance
9700,Home,Partner,Rainy,55,6PM,Coffee House,1d,Male,41,Married partner,0,Some college - no degree,Production Occupations,$25000 - $37499,less1,never,gt8,1~3,1~3,0,0,1,1,0,never,Medium_High_Acceptance
9639,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Production Occupations,Less than $12500,4~8,4~8,1~3,less1,1~3,0,0,0,1,0,less1,Medium_High_Acceptance
4856,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Male,below21,Single,0,Some college - no degree,Student,$62500 - $74999,never,1~3,4~8,1~3,less1,0,0,0,1,0,1~3,Medium_High_Acceptance
6026,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Management,$37500 - $49999,less1,less1,less1,1~3,less1,0,0,0,0,0,less1,Medium_Acceptance
3129,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,50plus,Unmarried partner,1,Some college - no degree,Installation Maintenance & Repair,$12500 - $24999,4~8,less1,1~3,1~3,less1,1,0,0,0,1,less1,Medium_Low_Acceptance
6918,No Urgent Place,Partner,Sunny,30,10AM,Bar,1d,Male,31,Unmarried partner,0,Some college - no degree,Sales & Related,$62500 - $74999,gt8,1~3,1~3,4~8,less1,1,0,0,0,1,gt8,Medium_Low_Acceptance
9388,No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Male,21,Single,0,Bachelors degree,Unemployed,$100000 or More,4~8,less1,1~3,4~8,1~3,0,0,0,1,0,4~8,Medium_Low_Acceptance
8855,Home,Kid(s),Sunny,80,6PM,Restaurant(20-50),2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,0,1,1,1,1~3,Medium_Acceptance
3383,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,50plus,Married partner,0,Some college - no degree,Protective Service,$37500 - $49999,never,less1,gt8,gt8,1~3,0,0,0,1,0,less1,High_Acceptance
1639,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$37500 - $49999,1~3,4~8,1~3,4~8,less1,1,0,0,1,1,1~3,Medium_Low_Acceptance
1619,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Female,26,Single,0,Bachelors degree,Healthcare Practitioners & Technical,$37500 - $49999,1~3,1~3,gt8,gt8,gt8,0,0,0,1,0,1~3,High_Acceptance
4408,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,21,Single,0,Bachelors degree,Life Physical Social Science,$37500 - $49999,less1,never,less1,1~3,never,1,1,0,0,2,less1,Medium_Acceptance
810,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,46,Married partner,1,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3,0,0,0,1,0,1~3,Medium_Acceptance
4769,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Male,50plus,Married partner,1,Associates degree,Unemployed,$37500 - $49999,less1,less1,less1,4~8,less1,0,0,0,1,0,less1,Medium_Low_Acceptance
10071,Work,Alone,Rainy,55,7AM,Carry out & Take away,2h,Female,50plus,Single,1,Some college - no degree,Unemployed,Less than $12500,never,1~3,less1,1~3,less1,1,0,1,0,1,less1,Medium_Low_Acceptance
1043,No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,50plus,Unmarried partner,0,Bachelors degree,Retired,$100000 or More,never,never,1~3,gt8,never,0,0,0,0,0,never,Low_Acceptance
2819,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,below21,Single,0,Some college - no degree,Student,$50000 - $62499,never,1~3,4~8,4~8,less1,0,0,1,1,0,4~8,Medium_High_Acceptance
9030,No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,1~3,less1,4~8,less1,never,0,0,0,0,0,1~3,Medium_High_Acceptance
11715,No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,less1,gt8,4~8,never,1,0,0,1,1,gt8,Low_Acceptance
38,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,0,2,less1,High_Acceptance
